reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp
-6772.388888888882,0.99,719,2.9583333333333335,0.3055555555555556,3504,0,180.05382250576486,1,2026-05-16T02:27:16.685648
-7030.611111111114,0.9801,719,1.5833333333333333,0.25,3504,0,115.22878765695118,2,2026-05-16T02:28:44.454581
-6538.444444444441,0.9702989999999999,719,5.629213483146067,0.2916666666666667,3509,0,53.287102119647415,3,2026-05-16T02:31:53.861624
-6786.055555555556,0.96059601,719,1.84375,0.2638888888888889,3503,0,29.63740082211554,4,2026-05-16T02:33:22.099029
-6402.888888888893,0.9509900498999999,719,1.7575757575757576,0.375,3501,0,28.259355075501933,5,2026-05-16T02:34:37.620856
