reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-381.5295370370371,719,10.0114,8.2143,5181,0,1,2026-06-13T16:02:43.941665
-387.91128086419747,719,21.5195,9.7619,5081,0,2,2026-06-13T16:03:23.033517
-339.39495370370383,719,12.5901,9.4048,5163,0,3,2026-06-13T16:03:59.344697
-408.54915123456806,719,11.0311,9.0476,5135,0,4,2026-06-13T16:04:35.740859
-331.99581790123483,719,14.7754,9.381,5178,0,5,2026-06-13T16:05:11.442301
