reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp
-5818.166666666671,0.997,719,0.75,0.1527777777777778,3506,0,172.93929550705886,1,2026-05-10T19:17:35.671195
-5881.722222222217,0.994009,719,2.108695652173913,0.2638888888888889,3508,0,57.894405250920705,2,2026-05-10T19:18:36.627539
-5493.500000000007,0.991026973,719,1.9444444444444444,0.2638888888888889,3510,0,30.30750090157372,3,2026-05-10T19:19:13.773093
-5568.444444444446,0.988053892081,719,0.6136363636363636,0.1388888888888889,3511,0,18.809970104976223,4,2026-05-10T19:19:53.068108
-5711.2777777777765,0.985089730404757,719,0.40816326530612246,0.125,3501,0,16.657843698546685,5,2026-05-10T19:20:30.274921
-5824.444444444441,0.9821344612135428,719,0.8817204301075269,0.20833333333333334,3506,0,16.927410489163247,6,2026-05-10T19:21:06.157786
-5833.500000000005,0.9791880578299021,719,0.5742574257425742,0.2222222222222222,3499,0,18.5233131774775,7,2026-05-10T19:21:40.426839
-5776.555555555559,0.9762504936564125,719,1.1868131868131868,0.3055555555555556,3509,0,20.99771874073649,8,2026-05-10T19:22:14.833469
-5805.055555555552,0.9733217421754432,719,1.6888888888888889,0.2638888888888889,3509,0,21.023491838213797,9,2026-05-10T19:22:50.049741
-5228.277777777777,0.9704017769489168,719,0.9130434782608695,0.2361111111111111,3508,0,21.31702395241516,10,2026-05-10T19:23:24.970746
-5712.5,0.9674905716180701,719,3.0842105263157893,0.3611111111111111,3505,0,21.705511549417764,11,2026-05-10T19:23:59.883881
-6289.388888888893,0.9645880999032158,719,0.8369565217391305,0.1527777777777778,3507,1,21.855980845253722,12,2026-05-10T19:24:34.919774
-6136.999999999994,0.9616943356035061,719,1.2391304347826086,0.125,3507,0,23.732754105155426,13,2026-05-10T19:25:11.865234
-5097.333333333333,0.9588092525966956,719,1.2857142857142858,0.2638888888888889,3502,0,22.69974583743842,14,2026-05-10T19:28:56.019431
