reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-202.89483024691367,719,7.9785,3.8571,4404,0,1,2026-07-13T12:51:57.124181
-174.7793518518519,719,11.7269,4.3571,4399,0,2,2026-07-13T12:53:31.634931
-175.39961419753087,719,7.5838,3.381,4410,0,3,2026-07-13T12:55:04.714512
-197.02510802469124,719,13.0469,4.6429,4391,0,4,2026-07-13T12:56:44.684311
