reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-15580.33333333333,0.99,719,2.6566265060240966,0.6805555555555556,5214,0,676.7375728328053,1,2026-05-17T10:22:56.816468,,,,,,
-27352660.388888884,0.9801,719,1312.8767730496454,31.125,2072,0,424985232.45551574,2,2026-05-17T10:25:06.882903,,,,,,
-17545.88888888889,0.9702989999999999,719,4.5476190476190474,0.5972222222222222,5212,0,2087677382.18637,3,2026-05-17T10:26:09.737862,,,,,,
-15542.8888888889,0.96059601,719,1.8414634146341464,0.5416666666666666,5217,0,1293737139.4228094,4,2026-05-17T10:27:12.241054,,,,,,
-15585.833333333338,0.9509900498999999,719,2.698717948717949,0.4583333333333333,5225,0,871372205.5146036,5,2026-05-17T10:28:14.953044,,,,,,
-5221120.944444445,0.9414801494009999,719,693.1326241134752,19.02777777777778,3680,0,554901703.2058414,6,2026-05-17T10:29:38.585624,,,,,,
-16870.33333333333,0.9320653479069899,719,1.7610062893081762,0.4861111111111111,5222,0,368877255.891516,7,2026-05-17T10:30:41.443257,,,,,,
-17690.11111111112,0.92274469442792,719,1.5225806451612902,0.4583333333333333,5225,0,402951559.32684284,8,2026-05-17T10:31:44.542996,,,,,,
-17698.66666666666,0.9135172474836407,719,0.5,0.2361111111111111,5205,0,319040356.7315716,9,2026-05-17T10:32:47.728978,,,,,,
-15403.11111111112,0.9043820750088043,719,2.2392638036809815,0.6388888888888888,5217,0,252265309.19054243,10,2026-05-17T10:36:48.923193,-73085537.88888891,0.0,2117.9285429141714,34.791666666666664,580.0,0.0
-15573.3888888889,0.8953382542587163,719,1.4387096774193548,0.5277777777777778,5226,0,220755545.94993046,11,2026-05-17T10:37:52.041121,,,,,,
-9269857.388888892,0.8863848717161291,719,816.3716255025847,23.708333333333332,3197,0,242416916.18358833,12,2026-05-17T10:39:26.117358,,,,,,
-16385.333333333332,0.8775210229989678,719,2.2289156626506026,0.5972222222222222,5215,0,232554933.2294854,13,2026-05-17T10:40:29.096617,,,,,,
-16112.222222222214,0.8687458127689781,719,2.0,0.4583333333333333,5222,0,241688833.71349096,14,2026-05-17T10:41:32.517259,,,,,,
-17422.72222222221,0.8600583546412883,719,1.277456647398844,0.4722222222222222,5206,0,233852372.92350486,15,2026-05-17T10:42:35.674951,,,,,,
-36256689.388888896,0.8514577710948754,719,1490.3116883116884,32.958333333333336,1670,0,263674749.3574409,16,2026-05-17T10:45:01.268698,,,,,,
-15908.222222222215,0.8429431933839266,719,2.036363636363636,0.5555555555555556,5216,0,371758654.8205841,17,2026-05-17T10:46:04.607895,,,,,,
-591412.3333333333,0.8345137614500874,719,329.31911532385465,7.486111111111111,4688,0,326156919.57162726,18,2026-05-17T10:47:11.068694,,,,,,
-16042.05555555557,0.8261686238355865,719,2.7083333333333335,0.625,5212,0,330409131.5688456,19,2026-05-17T10:48:13.688174,,,,,,
-16504.555555555544,0.8179069375972307,719,0.9457831325301205,0.3472222222222222,5215,0,372041471.51877606,20,2026-05-17T10:52:27.340552,-85683035.49999999,0.0,2325.0852407261245,35.19444444444444,321.0,0.0
-15872.611111111142,0.8097278682212583,719,0.9407894736842105,0.375,5228,0,364600283.8205841,21,2026-05-17T10:53:29.855126,,,,,,
-18857.833333333336,0.8016305895390458,719,7.723756906077348,0.8055555555555556,5200,0,325916002.21279556,22,2026-05-17T10:54:33.184153,,,,,,
-16051.77777777777,0.7936142836436553,719,3.3271604938271606,0.7361111111111112,5219,0,325706158.90403336,23,2026-05-17T10:55:37.099235,,,,,,
-16195.11111111109,0.7856781408072188,719,2.1375,0.5555555555555556,5219,0,388868888.325452,24,2026-05-17T10:56:40.789831,,,,,,
-18838.833333333336,0.7778213593991465,719,4.1098901098901095,0.75,5198,0,324975699.05910987,25,2026-05-17T10:57:44.320740,,,,,,
