reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-52.2379,0.81,719,0.66,1.9524,4447,4447,5197,750,0,0,0,0.0,0,0,2.6807,15.3,3.0088,6.6905,566.2726,789.0,28,0,0,A1,172.0,3964.0,0,8,0,W_A0A1_1,114.0,3230.0,0.0066,1,2026-05-26T09:13:28.176401,,,,,,,,,,,,
-53.0989,0.729,719,1.0764,2.4524,4485,4485,5166,681,0,0,0,0.0,0,0,2.7807,15.49,3.0359,6.119,555.2559,732.0,35,0,0,A2,154.0,8378.0,1,18,1,A1A2_1,88.0,5589.0,0.0043,2,2026-05-26T09:15:35.631961,,,,,,,,,,,,
-40.9546,0.6561,719,1.0549,2.4286,4639,4639,5331,692,0,0,0,0.0,0,0,2.0051,16.8067,2.5517,5.5238,543.1432,741.0,0,0,0,A1,120.0,1483.0,1,13,1,W_A0A1_1,80.0,1174.0,0.0042,3,2026-05-26T09:17:40.817191,,,,,,,,,,,,
-46.0237,0.5905,719,1.5618,3.1429,4662,4662,5390,728,0,0,0,0.0,0,0,2.1895,21.1174,2.7253,5.5476,609.6634,771.0,14,0,0,A2,147.0,5800.0,0,18,0,A1A2_1,78.0,3190.0,0.0049,4,2026-05-26T09:19:54.135031,,,,,,,,,,,,
-34.2536,0.5314,719,4.6278,3.9048,4781,4781,5501,720,0,0,0,0.0,0,0,1.7182,8.2359,2.1456,5.5238,526.8776,720.0,0,0,0,A2,159.0,4254.0,0,33,0,A1A2_1,98.0,2122.0,0.0054,5,2026-05-26T09:23:43.495979,-24.6525,0.0,1.3027,2.2381,5209.0,0.0,0.0,0.0,1.1864,5.7935,1.5429,3.4048
