reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-37726.99999999993,0.95,719,1.0957446808510638,0.19444444444444445,3506,0,164918.89067870815,164918.88704449957,0.019690477956517984,1,2026-05-18T12:21:12.339264,,,,,,
-6684.555555555555,0.9025,719,3.144230769230769,0.3888888888888889,3496,0,6167.782167394901,6167.777855078601,0.014518428775216342,2,2026-05-18T12:22:54.375315,,,,,,
-6765.333333333332,0.8573749999999999,719,0.9021739130434783,0.18055555555555555,3508,0,2942.2760802840658,2942.272267921246,0.012753772390008968,3,2026-05-18T12:24:38.611075,,,,,,
-7051.277777777776,0.8145062499999999,719,1.043956043956044,0.25,3508,0,2852.11549088819,2852.11178198378,0.012315598681765986,4,2026-05-18T12:26:20.512027,,,,,,
-6124.277777777769,0.7737809374999999,719,0.8924731182795699,0.18055555555555555,3507,0,3908.1660128873314,3908.1625851775743,0.01137993519579129,5,2026-05-18T12:28:01.911774,,,,,,
-5700.6111111111095,0.7350918906249998,719,0.6170212765957447,0.08333333333333333,3506,0,3349.3442375809163,3349.3410335535464,0.01068859666803533,6,2026-05-18T12:29:44.718101,,,,,,
-5319.0,0.6983372960937497,719,0.6593406593406593,0.19444444444444445,3508,0,3224.758641355724,3224.7554563010353,0.010556768168732834,7,2026-05-18T12:31:26.600390,,,,,,
-5364.555555555553,0.6634204312890623,719,1.108695652173913,0.1527777777777778,3507,0,5521.547337623564,5521.5441600815475,0.010545277013411028,8,2026-05-18T12:33:09.091560,,,,,,
-4783.722222222224,0.6302494097246091,719,1.2298850574712643,0.20833333333333334,3512,0,5482.008709372996,5482.005474488493,0.010719495076784586,9,2026-05-18T12:34:52.538262,,,,,,
-4583.166666666664,0.5987369392383786,719,0.6436781609195402,0.1388888888888889,3512,0,5867.660397546845,5867.657186834471,0.010708886047149068,10,2026-05-18T12:37:54.354420,-63182.055555555526,0.0,1.5142857142857142,0.5694444444444444,3425.0,0.0
-4417.888888888892,0.5688000922764596,719,1.7173913043478262,0.25,3508,0,7745.77139086982,7745.768201740461,0.010833931641241273,11,2026-05-18T12:39:37.228675,,,,,,
-4504.666666666666,0.5403600876626365,719,0.6551724137931034,0.125,3511,0,8535.722417032934,8535.719266612938,0.010735322778295824,12,2026-05-18T12:41:19.601110,,,,,,
-4081.5555555555584,0.5133420832795047,719,0.8901098901098901,0.2361111111111111,3509,0,9376.846048177365,9376.842878943857,0.010808762581306555,13,2026-05-18T12:43:02.112080,,,,,,
-4198.833333333335,0.48767497911552943,719,1.5164835164835164,0.2638888888888889,3509,0,10771.26763066065,10771.264403883042,0.011085289625013156,14,2026-05-18T12:44:45.428160,,,,,,
-4268.333333333337,0.46329123015975293,719,1.8222222222222222,0.2638888888888889,3509,0,11653.826000303818,11653.822554491491,0.011868870808057725,15,2026-05-18T12:46:29.546680,,,,,,
-3878.166666666668,0.44012666865176525,719,1.3297872340425532,0.20833333333333334,3506,0,10984.170035567835,10984.16720394299,0.009927163611688185,16,2026-05-18T12:48:12.439661,,,,,,
-3855.3888888888896,0.41812033521917696,719,0.8222222222222222,0.16666666666666666,3509,0,10453.89359385314,10453.89092333161,0.009316563262359365,17,2026-05-18T12:49:56.273226,,,,,,
-3895.9999999999986,0.3972143184582181,719,0.6344086021505376,0.1527777777777778,3506,0,10906.644671990576,10906.64197707939,0.009573075929410518,18,2026-05-18T12:51:39.705591,,,,,,
-3699.72222222222,0.37735360253530714,719,0.4888888888888889,0.1527777777777778,3509,0,13262.55392767491,13262.55136128029,0.008995415429132621,19,2026-05-18T12:53:22.406481,,,,,,
-3645.5000000000014,0.35848592240854177,719,0.4387755102040816,0.125,3501,0,8783.511828628138,8783.509245934838,0.008903691723880582,20,2026-05-18T12:56:16.958825,-2927.3888888888932,0.0,0.6428571428571429,0.1111111111111111,3515.0,0.0
-3766.944444444444,0.34056162628811465,719,0.25274725274725274,0.1111111111111111,3508,0,9472.962913269128,9472.960379678781,0.008740313648426276,21,2026-05-18T12:58:01.938963,,,,,,
-3482.3888888888882,0.3235335449737089,719,1.2183908045977012,0.20833333333333334,3513,0,8871.191501070958,8871.188991801298,0.008562404004356957,22,2026-05-18T12:59:45.493298,,,,,,
-3314.6666666666715,0.30735686772502346,719,1.0235294117647058,0.19444444444444445,3515,0,9932.793282329787,9932.790819239715,0.008541029982880192,23,2026-05-18T13:01:29.740718,,,,,,
-3446.055555555558,0.2919890243387723,719,0.3522727272727273,0.09722222222222222,3512,0,10757.177539135717,10757.175033585252,0.008593142044928666,24,2026-05-18T13:03:12.314792,,,,,,
-3535.1666666666633,0.27738957312183365,719,0.8791208791208791,0.2222222222222222,3509,0,11785.126373779127,11785.12396445029,0.008351436634165894,25,2026-05-18T13:04:56.674351,,,,,,
-3234.3888888888896,0.263520094465742,719,0.5517241379310345,0.16666666666666666,3513,0,10608.365804796922,10608.363388597385,0.008239310976345823,26,2026-05-18T13:06:41.154003,,,,,,
-3358.5,0.25034408974245487,719,0.4431818181818182,0.1388888888888889,3512,0,11256.293849462263,11256.291489591851,0.008255031454650185,27,2026-05-18T13:08:24.375557,,,,,,
-3347.999999999997,0.2378268852553321,719,1.4606741573033708,0.25,3511,0,11486.20832026751,11486.205974462135,0.008214632704626038,28,2026-05-18T13:10:09.050592,,,,,,
-3462.7777777777774,0.2259355409925655,719,0.5280898876404494,0.1111111111111111,3511,0,15613.105359036335,15613.103042538873,0.008054494113636738,29,2026-05-18T13:11:53.276115,,,,,,
-3334.2222222222235,0.2146387639429372,719,0.4835164835164835,0.125,3509,0,11620.684952758449,11620.682624466728,0.00796241655373254,30,2026-05-18T13:14:48.973638,-2859.555555555555,0.0,0.10227272727272728,0.05555555555555555,3511.0,0.0
-3293.2777777777774,0.20390682574579033,719,0.5454545454545454,0.125,3511,0,8682.572663923962,8682.570391441419,0.007772315526704961,31,2026-05-18T13:16:35.980890,,,,,,
-3127.777777777779,0.1937114844585008,719,0.1348314606741573,0.06944444444444445,3511,0,15422.46366358135,15422.461401571982,0.007859196862975273,32,2026-05-18T13:18:20.594632,,,,,,
-3269.222222222222,0.18402591023557577,719,1.1,0.16666666666666666,3509,0,15121.715705558554,15121.713498854338,0.00777903676255812,33,2026-05-18T13:20:05.454191,,,,,,
-3181.166666666662,0.17482461472379698,719,0.4444444444444444,0.125,3510,0,11377.303639063086,11377.30141532272,0.007671449437701197,34,2026-05-18T13:21:49.896538,,,,,,
-3340.222222222221,0.16608338398760714,719,0.6190476190476191,0.16666666666666666,3516,0,9500.807390284637,9500.805176969696,0.0075882907700368695,35,2026-05-18T13:23:34.411007,,,,,,
-3202.4444444444407,0.15777921478822676,719,0.054945054945054944,0.05555555555555555,3509,0,13391.984827893168,13391.982652242392,0.007552977799669799,36,2026-05-18T13:25:20.146176,,,,,,
-3203.388888888884,0.14989025404881542,719,1.0864197530864197,0.20833333333333334,3517,0,10179.568830789876,10179.566620663576,0.007485435102057225,37,2026-05-18T13:27:05.787071,,,,,,
-3133.7222222222204,0.14239574134637464,719,1.2727272727272727,0.16666666666666666,3511,0,6122.835275318427,6122.833089751561,0.007408748929400479,38,2026-05-18T13:28:50.748440,,,,,,
-3095.3333333333308,0.1352759542790559,719,1.1395348837209303,0.2222222222222222,3514,0,20890.704354178757,20890.702201320662,0.007413515613203213,39,2026-05-18T13:30:36.301998,,,,,,
