reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-16025.055555555564,0.99,719,1.4906832298136645,0.4861111111111111,5220,0,629.9946696583818,629.9905319679074,0.013798182999158687,1,2026-05-17T08:41:44.744225,,,,,,
-15112.111111111115,0.9801,719,1.4197530864197532,0.5,5217,0,369.3998590716069,369.3963451146748,0.011711855684517157,2,2026-05-17T08:43:16.423084,,,,,,
-13434.55555555555,0.9702989999999999,719,3.5090909090909093,0.7083333333333334,5216,0,376.40866816789946,376.4052367018062,0.011438045181821052,3,2026-05-17T08:44:47.660244,,,,,,
-16462.444444444427,0.96059601,719,4.923076923076923,0.6805555555555556,5212,0,376.42564402700964,376.4223467703489,0.01099096905564441,4,2026-05-17T08:46:17.034977,,,,,,
-14243.944444444442,0.9509900498999999,719,0.7712418300653595,0.2638888888888889,5226,0,405.20665466138814,405.20340874132097,0.01081985602173462,5,2026-05-17T08:47:48.546229,,,,,,
-503127.388888889,0.9414801494009999,719,308.0434056761269,7.333333333333333,4727,0,186786.69498760876,186786.69198234886,0.01083482798416898,6,2026-05-17T08:49:22.552742,,,,,,
-13741.222222222234,0.9320653479069899,719,2.7884615384615383,0.5138888888888888,5225,0,2084153.6990355595,2084153.6975671505,0.019058544995711392,7,2026-05-17T08:50:51.765990,,,,,,
-15278.444444444449,0.92274469442792,719,1.1578947368421053,0.5555555555555556,5210,0,916497.1007937456,916497.0982022558,0.020638047246021505,8,2026-05-17T08:52:25.219709,,,,,,
-14976.944444444443,0.9135172474836407,719,1.6951219512195121,0.4861111111111111,5217,0,570569.004821268,570569.0025411508,0.015345841148798257,9,2026-05-17T08:53:58.140026,,,,,,
-27175314.111111104,0.9043820750088043,719,1314.5079505300353,31.194444444444443,2057,0,31495594.12205342,31495594.120608184,0.025928424229594117,10,2026-05-17T08:57:58.617779,-7634.3888888888905,0.0,1.6470588235294117,0.5555555555555556,5228.0,0.0
-14682.000000000002,0.8953382542587163,719,0.8355263157894737,0.3055555555555556,5227,0,109516152.45258833,109516152.45254979,0.051756612324416224,11,2026-05-17T08:59:29.036326,,,,,,
-13700.222222222239,0.8863848717161291,719,1.3924050632911393,0.4166666666666667,5223,0,106660254.78526016,106660254.78509733,0.0890519012346014,12,2026-05-17T09:00:59.285657,,,,,,
-8486402.333333334,0.8775210229989678,719,813.6037847427558,23.0,3266,0,105575417.18712513,105575417.18702954,0.06769307467552817,13,2026-05-17T09:03:05.744528,,,,,,
