reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-180.90858024691363,719,10.989,4.8333,4397,0,1,2026-07-13T13:13:13.788576
-178.60015432098757,719,8.9051,3.6429,4366,0,2,2026-07-13T13:14:46.053692
-175.5934104938271,719,6.6827,4.881,4406,0,3,2026-07-13T13:16:17.582160
-178.7444753086422,719,14.6667,4.6905,4430,0,4,2026-07-13T13:17:49.650049
