reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp
-5742.111111111113,0.997,719,1.851063829787234,0.2638888888888889,3505,0,121.12837234357508,121.12531723045721,0.010183612194207565,1,2026-05-10T09:23:59.160397
-6195.5555555555575,0.994009,719,1.4705882352941178,0.3055555555555556,3498,0,60.46868478936844,60.46642591028121,0.007529648594034937,2,2026-05-10T09:25:43.244163
-5867.055555555549,0.991026973,719,1.4606741573033708,0.2916666666666667,3510,0,70.77749656602968,70.77528271522576,0.007379543717551629,3,2026-05-10T09:27:11.308660
-5242.888888888891,0.988053892081,719,0.8275862068965517,0.2222222222222222,3513,0,66.8128417523083,66.81066644639398,0.007251191395302517,4,2026-05-10T09:28:36.597026
-5539.166666666664,0.985089730404757,719,0.7473684210526316,0.20833333333333334,3503,0,61.1737730798204,61.171625585648876,0.0071580308808145915,5,2026-05-10T09:30:02.171637
-5809.499999999997,0.9821344612135428,719,2.011764705882353,0.2777777777777778,3514,0,58.072188163831605,58.07006284159314,0.00708475910251512,6,2026-05-10T09:31:27.419054
-5702.611111111105,0.9791880578299021,719,0.4891304347826087,0.1527777777777778,3508,0,56.40329330720225,56.401192517870825,0.007002657521593803,7,2026-05-10T09:32:52.786373
-5729.333333333337,0.9762504936564125,719,1.9777777777777779,0.20833333333333334,3510,0,60.59956371004956,60.597470624390496,0.006976789855741493,8,2026-05-10T09:34:17.960305
-5765.1111111111095,0.9733217421754432,719,1.1758241758241759,0.16666666666666666,3508,0,56.542660345785805,56.5405713507131,0.006963468468922899,9,2026-05-10T09:35:43.148740
-5681.388888888884,0.9704017769489168,719,3.6382978723404253,0.4166666666666667,3505,0,55.22220286872025,55.220115337981966,0.0069588380101524155,10,2026-05-10T09:37:08.705306
-5692.222222222217,0.9674905716180701,719,3.477272727272727,0.3888888888888889,3511,0,55.98987838787561,55.98779505383487,0.006944624757619577,11,2026-05-10T09:38:33.719788
-5892.000000000001,0.9645880999032158,719,0.8809523809523809,0.20833333333333334,3516,1,56.95664391763021,56.95457808663019,0.006886137326886575,12,2026-05-10T09:39:59.325672
-5995.055555555556,0.9616943356035061,719,0.9042553191489362,0.16666666666666666,3505,0,55.94022719021135,55.93818605659071,0.006803863969409996,13,2026-05-10T09:41:24.719885
-5360.388888888885,0.9588092525966956,719,0.9555555555555556,0.20833333333333334,3509,0,54.097379183072874,54.09534442142916,0.006782614811218664,14,2026-05-10T09:42:49.908088
-5182.611111111118,0.9559328248389055,719,0.5578947368421052,0.2222222222222222,3505,0,55.84172922381108,55.83971555972464,0.006712169223885999,15,2026-05-10T09:44:15.997194
-5177.611111111106,0.9530650263643888,719,0.4574468085106383,0.16666666666666666,3505,0,54.806430068566506,54.8044236014715,0.0066882923623658355,16,2026-05-10T09:45:42.430409
-5274.722222222222,0.9502058312852957,719,0.9166666666666666,0.1388888888888889,3516,0,53.5423225222443,53.54031615064937,0.006687960992871637,17,2026-05-10T09:47:09.160828
-5853.222222222233,0.9473552137914398,719,0.9069767441860465,0.18055555555555555,3513,0,53.20380285419576,53.20180958467996,0.006644359324775087,18,2026-05-10T09:48:34.878878
-5363.27777777778,0.9445131481500655,719,1.3225806451612903,0.2777777777777778,3507,0,53.565241849472194,53.563264016481696,0.00659260431612856,19,2026-05-10T09:50:00.974574
-5438.555555555551,0.9416796087056153,719,0.5604395604395604,0.20833333333333334,3509,0,53.29643021637939,53.294461439978924,0.006562877768295738,20,2026-05-10T09:51:26.415881
-5468.555555555551,0.9388545698794984,719,0.10869565217391304,0.06944444444444445,3507,0,53.39604185685329,53.39406857072727,0.006577693014658252,21,2026-05-10T09:52:51.861405
-5151.2777777777765,0.93603800616986,719,1.0804597701149425,0.19444444444444445,3512,0,53.59805196780655,53.596076739845756,0.006584166428035381,22,2026-05-10T09:54:18.262205
-5171.333333333326,0.9332298921513504,719,1.1566265060240963,0.1527777777777778,3516,0,52.952683932923804,52.95072491875278,0.006530044518763481,23,2026-05-10T09:55:45.955494
-5562.277777777778,0.9304302024748964,719,2.4210526315789473,0.3611111111111111,3505,1,50.89703665190844,50.89507085988518,0.006552579714262518,24,2026-05-10T09:57:11.971162
-5385.888888888892,0.9276389118674717,719,0.8888888888888888,0.16666666666666666,3510,0,50.64526559514031,50.64330876420701,0.0065225247295006014,25,2026-05-10T09:58:37.287853
-5321.333333333329,0.9248559951318693,719,0.8191489361702128,0.2361111111111111,3505,0,51.14427572629714,51.142329124482515,0.00648878218142396,26,2026-05-10T10:00:03.056489
-5199.8888888888905,0.9220814271464737,719,1.4886363636363635,0.2361111111111111,3512,0,51.81494614942017,51.81300489560951,0.006470696197535133,27,2026-05-10T10:01:28.155207
-5169.3888888888905,0.9193151828650342,719,1.7142857142857142,0.25,3508,0,52.31468409457359,52.312739702524496,0.006481385428422184,28,2026-05-10T10:02:53.614344
-4686.833333333332,0.9165572373164391,719,1.1914893617021276,0.2777777777777778,3506,0,50.67947528823195,50.67754171687141,0.006445234144684212,29,2026-05-10T10:04:19.158540
-4794.888888888892,0.9138075656044898,719,1.0,0.1111111111111111,3516,0,52.599980177899226,52.59804636778851,0.006446230275781828,30,2026-05-10T10:05:46.653055
-4953.333333333333,0.9110661429076764,719,1.2903225806451613,0.25,3507,0,52.22176118885194,52.21982796500555,0.006444082726233526,31,2026-05-10T10:07:12.778598
-5503.333333333332,0.9083329444789534,719,3.1443298969072164,0.4027777777777778,3503,0,50.9940085112634,50.99207990325376,0.00642865623693307,32,2026-05-10T10:08:37.971257
-5798.888888888885,0.9056079456455165,719,0.945054945054945,0.16666666666666666,3509,0,50.83927849569307,50.837359527885,0.006396708717914259,33,2026-05-10T10:10:03.263719
