reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-194.8786,0.5561,719,2.7132,5.619,6696,6696,7791,1095,0,0,0,1.0,0,0,3.9897,16.6667,7.2005,18.381,1048.4854,1762.0,518,0,0,A1,244.0,10227.0,1,13,0,W_A0A1_1,99.0,7574.0,0.1603,18,2026-05-29T01:46:15.571265,,,,,,,,,,,,
-290.9915,0.545,719,11.0367,8.0238,6731,6731,7631,900,0,14,14,1.0,0,0,7.2753,59.786,6.7652,16.5476,955.911,1593.0,463,0,0,A1,381.0,35061.0,0,3,0,W_A0A1_1,156.0,14825.0,0.1705,19,2026-05-29T01:51:32.704357,,,,,,,,,,,,
-282.5944,0.5341,719,18.1358,10.1429,6679,6679,7636,957,0,3,3,1.0,0,0,7.1693,56.8201,7.3639,20.8571,954.5758,1594.0,459,0,0,A1,593.0,67588.0,0,28,0,A2A1_1,164.0,20611.0,0.1772,20,2026-05-29T02:02:06.363911,-220.477,0.0,2.3355,5.0,6702.0,0.0,0.0,0.0,4.654,15.3694,7.3721,20.0476
-147.4296,0.5234,719,4.1264,5.619,6911,6911,7797,886,0,0,0,1.0,0,0,3.2099,8.7926,6.0728,14.2143,956.6578,1625.0,450,0,0,A1,222.0,4764.0,1,8,0,W_A0A1_1,87.0,2140.0,0.1834,21,2026-05-29T02:07:23.644261,,,,,,,,,,,,
-125.3643,0.5129,719,4.0393,3.881,6949,6949,7738,789,0,0,0,1.0,0,0,3.101,11.7114,5.2424,13.1905,879.6773,1532.0,427,0,0,A2,221.0,8690.0,0,28,0,A1A2_1,110.0,4915.0,0.1886,22,2026-05-29T02:12:18.922385,,,,,,,,,,,,
-134.6503,0.5027,719,6.131,4.8571,6878,6878,7718,840,0,1,1,1.0,0,0,3.4021,13.8168,5.501,11.3571,914.9555,1529.0,475,0,0,A2,277.0,10179.0,0,33,0,A1A2_1,133.0,5393.0,0.1951,23,2026-05-29T02:17:20.740667,,,,,,,,,,,,
-189.6041,0.4926,719,4.5258,7.4286,6732,6732,7738,1006,0,0,0,1.0,0,0,4.2835,19.8392,6.7731,17.2857,1030.025,1784.0,477,0,0,A1,324.0,17642.0,0,23,0,W_A0A1_1,155.0,7304.0,0.1932,24,2026-05-29T02:22:57.439977,,,,,,,,,,,,
-149.409,0.4828,719,4.9403,5.8095,6831,6831,7802,971,0,1,1,1.0,0,0,3.4208,12.3812,5.8714,15.0714,937.9012,1572.0,430,0,0,A2,273.0,11705.0,0,38,0,A1A2_1,115.0,4973.0,0.1995,25,2026-05-29T02:33:19.652220,-140.2419,0.0,4.1881,5.7381,6791.0,0.0,0.0,0.0,3.0125,8.8288,5.6389,13.5952
-128.2684,0.4731,719,6.5461,4.9762,6907,6907,7753,846,0,1,1,1.0,0,0,2.9698,7.6252,5.4783,11.8095,918.3602,1579.0,463,0,0,A2,234.0,5850.0,0,43,0,A1A2_1,94.0,2702.0,0.2026,26,2026-05-29T02:38:21.897693,,,,,,,,,,,,
-140.9398,0.4637,719,7.8837,7.2381,6785,6785,7748,963,0,0,0,1.0,0,0,3.4161,12.6899,5.551,11.5714,927.9861,1486.0,463,0,0,A1,191.0,6006.0,0,13,0,W_A0A1_1,100.0,4867.0,0.2017,27,2026-05-29T02:43:28.605943,,,,,,,,,,,,
