reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-2936.222222222224,0.15777921478822676,719,1.0113636363636365,0.2222222222222222,3511,0,3321.306447672413,36,2026-05-19T08:39:56.569019,,,,,,
-2885.388888888892,0.14989025404881542,719,0.5681818181818182,0.125,3512,0,2285.9959480115867,37,2026-05-19T08:41:06.886400,,,,,,
-2902.3888888888896,0.14239574134637464,719,0.9431818181818182,0.20833333333333334,3512,0,3442.172414686816,38,2026-05-19T08:42:16.930279,,,,,,
-2939.9999999999973,0.1352759542790559,719,0.38461538461538464,0.09722222222222222,3508,0,3783.447042268904,39,2026-05-19T08:43:27.178851,,,,,,
-2952.500000000002,0.1285121565651031,719,0.686046511627907,0.18055555555555555,3514,0,2925.7583760883613,40,2026-05-19T08:45:40.288724,-2582.1666666666665,0.0,0.8068181818181818,0.2222222222222222,3512.0,0.0
-2957.33333333333,0.12208654873684793,719,0.8089887640449438,0.18055555555555555,3510,0,3343.4134289896706,41,2026-05-19T08:46:53.512739,,,,,,
-2983.8333333333317,0.11598222130000553,719,0.2558139534883721,0.09722222222222222,3514,0,3509.552905601321,42,2026-05-19T08:48:03.591862,,,,,,
-2865.2777777777756,0.11018311023500525,719,0.9101123595505618,0.16666666666666666,3511,0,3526.3288445505877,43,2026-05-19T08:49:14.668822,,,,,,
-2894.888888888885,0.10467395472325498,719,1.3218390804597702,0.2222222222222222,3512,0,3555.6380584409076,44,2026-05-19T08:50:25.011195,,,,,,
-22626.388888888883,0.09944025698709223,719,0.17857142857142858,0.05555555555555555,3516,0,4234.840195487372,45,2026-05-19T08:51:36.897078,,,,,,
-2880.4444444444475,0.09446824413773762,719,1.0909090909090908,0.25,3512,0,4929.595309160681,46,2026-05-19T08:52:47.474103,,,,,,
-2848.166666666668,0.08974483193085074,719,0.7582417582417582,0.20833333333333334,3509,0,3955.5376782423928,47,2026-05-19T08:53:58.098125,,,,,,
-2851.7222222222235,0.0852575903343082,719,0.967741935483871,0.2361111111111111,3507,0,5059.828342135327,48,2026-05-19T08:55:08.089206,,,,,,
-2884.9999999999995,0.08099471081759278,719,0.5813953488372093,0.125,3514,0,5465.759023149089,49,2026-05-19T08:56:18.829743,,,,,,
-2850.8888888888873,0.07694497527671314,719,0.7191011235955056,0.19444444444444445,3511,0,7619.2542650702935,50,2026-05-19T08:58:33.249105,-2679.1111111111095,0.0,0.524390243902439,0.1527777777777778,3518.0,0.0
-2795.833333333333,0.07309772651287748,719,0.056179775280898875,0.05555555555555555,3511,0,5829.015792963402,51,2026-05-19T08:59:47.319198,,,,,,
-2837.444444444448,0.0694428401872336,719,0.38636363636363635,0.1111111111111111,3511,0,6958.319167703515,52,2026-05-19T09:00:57.916643,,,,,,
-2812.333333333332,0.0659706981778719,719,0.8160919540229885,0.16666666666666666,3513,0,7486.625344670366,53,2026-05-19T09:02:08.381988,,,,,,
-2828.944444444445,0.0626721632689783,719,1.0470588235294118,0.25,3515,0,6760.388650551957,54,2026-05-19T09:03:19.267109,,,,,,
-2810.333333333333,0.059538555105529384,719,0.3058823529411765,0.09722222222222222,3514,0,8238.926132541705,55,2026-05-19T09:04:30.208969,,,,,,
-2834.5000000000005,0.05656162735025291,719,0.8505747126436781,0.19444444444444445,3513,0,7904.419889261726,56,2026-05-19T09:05:40.925770,,,,,,
-2826.944444444447,0.053733545982740265,719,0.6179775280898876,0.1388888888888889,3511,0,6557.169138684227,57,2026-05-19T09:06:51.444897,,,,,,
-2828.333333333334,0.05104686868360325,719,0.4827586206896552,0.1527777777777778,3513,0,6378.072820703243,58,2026-05-19T09:08:02.049390,,,,,,
-2736.777777777776,0.05,719,0.7441860465116279,0.1111111111111111,3514,0,6800.646889592411,59,2026-05-19T09:09:12.225314,,,,,,
-2861.055555555555,0.05,719,1.0112359550561798,0.25,3510,0,7113.015614757617,60,2026-05-19T09:11:26.019167,-2744.833333333331,0.0,0.34523809523809523,0.125,3515.0,0.0
-2714.8333333333335,0.05,719,0.3707865168539326,0.1388888888888889,3511,0,7194.270258387538,61,2026-05-19T09:12:36.469504,,,,,,
-2766.8333333333335,0.05,719,0.5,0.1527777777777778,3516,0,9528.225695041025,62,2026-05-19T09:13:46.975434,,,,,,
-2901.055555555556,0.05,719,0.1686746987951807,0.06944444444444445,3517,0,3810.2871292708483,63,2026-05-19T09:14:58.044949,,,,,,
-2731.722222222226,0.05,719,0.43529411764705883,0.1111111111111111,3515,0,9073.30988882911,64,2026-05-19T09:16:08.930380,,,,,,
-2731.888888888887,0.05,719,0.5172413793103449,0.125,3513,0,7776.306570108809,65,2026-05-19T09:17:19.416188,,,,,,
-2793.2222222222226,0.05,719,0.8045977011494253,0.20833333333333334,3513,0,9103.950913775448,66,2026-05-19T09:18:29.928286,,,,,,
-2733.0555555555566,0.05,719,0.29545454545454547,0.08333333333333333,3512,0,5831.405854887027,67,2026-05-19T09:19:40.690612,,,,,,
-2886.83333333333,0.05,719,1.0348837209302326,0.19444444444444445,3513,0,4099.4149699894215,68,2026-05-19T09:20:51.277159,,,,,,
-2785.5000000000027,0.05,719,1.1136363636363635,0.19444444444444445,3512,0,8661.487149308885,69,2026-05-19T09:22:01.986843,,,,,,
-22327.999999999945,0.05,719,0.14772727272727273,0.06944444444444445,3512,0,8965.802130559887,70,2026-05-19T09:24:18.956373,-2748.777777777779,0.0,0.27058823529411763,0.125,3515.0,0.0
-2766.222222222222,0.05,719,1.0,0.25,3509,0,10142.767490503686,71,2026-05-19T09:25:29.464077,,,,,,
-2721.722222222225,0.05,719,1.2747252747252746,0.25,3509,0,9269.913453771938,72,2026-05-19T09:26:39.941354,,,,,,
-2789.222222222221,0.05,719,0.32142857142857145,0.06944444444444445,3516,0,6899.257874718296,73,2026-05-19T09:27:51.284818,,,,,,
-2741.9444444444443,0.05,719,0.4117647058823529,0.1111111111111111,3515,0,11200.578388999334,74,2026-05-19T09:29:02.789382,,,,,,
-2842.8333333333358,0.05,719,0.29411764705882354,0.09722222222222222,3515,0,5368.427890759019,75,2026-05-19T09:30:13.689194,,,,,,
-2895.833333333331,0.05,719,0.375,0.09722222222222222,3511,0,4357.42555080833,76,2026-05-19T09:31:24.518449,,,,,,
-27712.722222222237,0.05,719,0.8444444444444444,0.16666666666666666,3510,0,8454.662764723013,77,2026-05-19T09:32:37.576678,,,,,,
-2750.0,0.05,719,1.2222222222222223,0.19444444444444445,3509,0,10745.654795236813,78,2026-05-19T09:33:48.054024,,,,,,
-2873.555555555555,0.05,719,0.45977011494252873,0.125,3513,0,5924.70111076026,79,2026-05-19T09:34:59.047785,,,,,,
-2817.944444444444,0.05,719,0.7640449438202247,0.16666666666666666,3511,0,7058.237574708644,80,2026-05-19T09:37:16.238241,-2660.0555555555547,0.0,0.9418604651162791,0.19444444444444445,3514.0,0.0
-2715.9999999999986,0.05,719,0.6046511627906976,0.18055555555555555,3514,0,9458.488750298597,81,2026-05-19T09:38:26.419747,,,,,,
-2793.777777777777,0.05,719,0.3218390804597701,0.1527777777777778,3513,0,15087.106862472725,82,2026-05-19T09:39:37.210619,,,,,,
-2758.444444444443,0.05,719,0.7906976744186046,0.16666666666666666,3514,0,10127.65949067287,83,2026-05-19T09:40:48.230963,,,,,,
-2797.055555555562,0.05,719,0.7159090909090909,0.16666666666666666,3512,0,14090.219411523683,84,2026-05-19T09:41:58.338920,,,,,,
-2720.6666666666683,0.05,719,0.45977011494252873,0.125,3513,0,11481.324707667916,85,2026-05-19T09:43:08.563676,,,,,,
-2842.222222222221,0.05,719,0.8,0.19444444444444445,3510,0,12036.077680595727,86,2026-05-19T09:44:19.012551,,,,,,
-2810.277777777779,0.05,719,0.4235294117647059,0.125,3514,0,10787.904254090969,87,2026-05-19T09:45:29.635433,,,,,,
-2773.722222222222,0.05,719,0.42696629213483145,0.1527777777777778,3511,0,12990.372803333903,88,2026-05-19T09:46:40.154931,,,,,,
-2760.3888888888882,0.05,719,0.632183908045977,0.1527777777777778,3513,0,5881.484301682473,89,2026-05-19T09:47:50.776759,,,,,,
-2839.9444444444475,0.05,719,0.6526315789473685,0.18055555555555555,3505,0,14837.062648629942,90,2026-05-19T09:50:04.796698,-2668.222222222221,0.0,0.9883720930232558,0.2222222222222222,3514.0,0.0
-2793.5555555555534,0.05,719,0.18181818181818182,0.05555555555555555,3512,0,14149.709969081534,91,2026-05-19T09:51:15.505618,,,,,,
-2725.611111111112,0.05,719,0.5760869565217391,0.1527777777777778,3508,0,10766.277176937905,92,2026-05-19T09:52:26.004471,,,,,,
-2863.11111111111,0.05,719,1.1111111111111112,0.2638888888888889,3510,0,11698.771026547662,93,2026-05-19T09:53:37.039877,,,,,,
-2709.111111111112,0.05,719,0.125,0.05555555555555555,3512,0,14940.069176967021,94,2026-05-19T09:54:47.748040,,,,,,
-2748.2222222222213,0.05,719,0.3764705882352941,0.08333333333333333,3515,0,13833.744777292137,95,2026-05-19T09:55:58.366548,,,,,,
-2756.722222222223,0.05,719,1.0113636363636365,0.2361111111111111,3512,0,14205.02132334066,96,2026-05-19T09:57:09.034599,,,,,,
-2742.8888888888932,0.05,719,1.1954022988505748,0.25,3513,0,16850.070890185234,97,2026-05-19T09:58:19.613444,,,,,,
-2710.0000000000027,0.05,719,0.12790697674418605,0.08333333333333333,3513,0,10677.569703034465,98,2026-05-19T09:59:30.410986,,,,,,
-2731.7222222222204,0.05,719,0.32142857142857145,0.125,3516,0,8906.208095258731,99,2026-05-19T10:00:41.497056,,,,,,
-2732.27777777778,0.05,719,0.7906976744186046,0.16666666666666666,3513,0,9026.782693865567,100,2026-05-19T10:02:50.069317,-27460.77777777779,0.0,0.8145161290322581,0.20833333333333334,3476.0,0.0
-3518.1666666666697,0.392,719,0.5952380952380952,0.1527777777777778,3516,0,20813.308197737733,101,2026-05-20T09:22:13.270934,,,,,,
-3616.944444444443,0.38416,719,1.2446808510638299,0.2222222222222222,3506,0,11103.28566889438,102,2026-05-20T09:23:24.195825,,,,,,
-3297.4999999999977,0.3764768,719,0.7666666666666667,0.18055555555555555,3510,0,9914.480552699868,103,2026-05-20T09:24:33.966198,,,,,,
-3423.1111111111077,0.368947264,719,0.7111111111111111,0.1527777777777778,3510,0,21760.545882934653,104,2026-05-20T09:25:44.020453,,,,,,
-3438.5555555555543,0.36156831872,719,1.5434782608695652,0.3055555555555556,3508,0,12735.390857911409,105,2026-05-20T09:26:54.188716,,,,,,
-3543.2222222222263,0.3543369523456,719,0.5903614457831325,0.18055555555555555,3516,0,11977.197698675376,106,2026-05-20T09:28:04.750288,,,,,,
-3475.0555555555597,0.347250213298688,719,0.125,0.08333333333333333,3512,0,14652.669962006252,107,2026-05-20T09:29:14.793203,,,,,,
-3245.5555555555547,0.3403052090327142,719,0.2840909090909091,0.06944444444444445,3511,0,13929.853000168674,108,2026-05-20T09:30:24.895998,,,,,,
-3424.1666666666692,0.3334991048520599,719,0.8068181818181818,0.20833333333333334,3512,0,15804.863784795345,109,2026-05-20T09:31:35.038367,,,,,,
-3305.11111111111,0.3268291227550187,719,0.8111111111111111,0.20833333333333334,3508,0,14805.56534250124,110,2026-05-20T09:34:11.016418,-579849.3888888888,0.0,0.9195402298850575,0.2222222222222222,3513.0,0.0
-3374.7222222222185,0.3202925402999183,719,0.5824175824175825,0.16666666666666666,3509,0,14591.482584394898,111,2026-05-20T09:35:21.549693,,,,,,
-3371.27777777778,0.31388668949391996,719,0.6,0.1527777777777778,3510,0,7882.60885865234,112,2026-05-20T09:36:32.114180,,,,,,
-3317.7777777777746,0.30760895570404156,719,0.5977011494252874,0.1527777777777778,3513,0,12445.970779907057,113,2026-05-20T09:37:42.638989,,,,,,
-3262.2222222222213,0.30145677658996073,719,0.375,0.16666666666666666,3512,0,9838.268944152705,114,2026-05-20T09:38:52.736456,,,,,,
-3240.7222222222244,0.2954276410581615,719,0.7045454545454546,0.1527777777777778,3512,0,14963.086809304228,115,2026-05-20T09:40:02.953453,,,,,,
-3082.2222222222235,0.28951908823699823,719,0.17204301075268819,0.05555555555555555,3507,0,9040.0229647269,116,2026-05-20T09:41:13.596583,,,,,,
-3296.5555555555575,0.2837287064722583,719,1.2727272727272727,0.25,3512,0,5929.353783900615,117,2026-05-20T09:42:24.513047,,,,,,
-3185.277777777776,0.2780541323428131,719,1.4367816091954022,0.2222222222222222,3512,0,6417.984638309611,118,2026-05-20T09:43:35.058336,,,,,,
-3220.8888888888882,0.27249304969595683,719,0.48863636363636365,0.1388888888888889,3512,0,10199.495435738596,119,2026-05-20T09:44:44.682639,,,,,,
