reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-117.09548611111104,0.784,719,1.074468085106383,0.20833333333333334,3506,3506,3600,94,0,8,8,0.0,22.881441116333008,248.87533569335938,0.742099404335022,4.30555534362793,143.41864013671875,394.0,119,0.0941262556012234,1,2026-05-23T01:37:17.658009,,,,,,,,,,,,
-6.816458333333328,0.76832,719,0.25842696629213485,0.08333333333333333,3510,3510,3599,89,0,0,0,0.0,1.186653971672058,3.715789556503296,0.20987868309020996,0.5138888955116272,91.49513244628906,112.0,0,0.034017832082552484,2,2026-05-23T01:39:37.807721,,,,,,,,,,,,
-6.526412037037042,0.7529536,719,2.9574468085106385,0.2361111111111111,3506,3506,3600,94,0,0,0,0.0,1.1313999891281128,4.319149017333984,0.2020166963338852,0.4722222089767456,90.67733001708984,112.0,0,0.014895188289769616,3,2026-05-23T01:42:20.286128,,,,,,,,,,,,
-6.445856481481469,0.737894528,719,0.875,0.2638888888888889,3503,3503,3599,96,0,0,0,0.0,1.1133273839950562,3.577777862548828,0.1998918354511261,0.4166666567325592,90.29346466064453,108.0,0,0.012389963467330808,4,2026-05-23T01:44:55.758230,,,,,,,,,,,,
-6.646875000000001,0.72313663744,719,0.6736842105263158,0.1388888888888889,3504,3504,3599,95,0,0,0,0.0,1.149847149848938,3.8787879943847656,0.2058028280735016,0.4722222089767456,91.13212585449219,112.0,0,0.011764843204681748,5,2026-05-23T01:49:30.973736,-4.727592592592596,0.0,0.8131868131868132,0.20833333333333334,3509.0,0.0,0.0,0.0,0.729224443435669,3.0989010334014893,0.15470947325229645,0.3611111044883728
-6.644560185185187,0.7086739046912,719,2.2247191011235956,0.2777777777777778,3511,3511,3600,89,0,0,0,0.0,1.157752513885498,4.705263137817383,0.20499148964881897,0.5138888955116272,90.71766662597656,106.0,0,0.009579033102362218,6,2026-05-23T01:52:09.877532,,,,,,,,,,,,
-99.42976851851847,0.694500426597376,719,2.3527696793002915,1.4305555555555556,3249,3249,3592,343,0,3,3,0.0,20.98174285888672,249.12957763671875,0.566933274269104,4.027777671813965,119.63838958740234,371.0,108,0.00860711086900213,7,2026-05-23T01:54:03.695220,,,,,,,,,,,,
-73.29974537037037,0.6806104180654284,719,136.62413793103448,2.8333333333333335,3305,3305,3595,290,0,3,3,1.0,18.474668502807617,230.0809783935547,0.4464147686958313,3.1111111640930176,106.75243377685547,292.0,90,0.014175259213996934,8,2026-05-23T01:55:48.961858,,,,,,,,,,,,
-6.68250000000001,0.6669982097041198,719,0.4536082474226804,0.1388888888888889,3502,3502,3599,97,0,0,0,0.0,1.1665176153182983,4.011494159698486,0.206111878156662,0.4722222089767456,91.215576171875,111.0,0,0.015372679396389992,9,2026-05-23T01:58:17.087952,,,,,,,,,,,,
-6.55981481481482,0.6536582455100374,719,0.7252747252747253,0.2361111111111111,3509,3509,3600,91,0,0,0,0.0,1.1402939558029175,4.178947448730469,0.2027314156293869,0.5,90.67037200927734,107.0,0,0.014793125873040382,10,2026-05-23T02:02:42.902213,-4.59599537037037,0.0,0.8452380952380952,0.18055555555555555,3515.0,0.0,0.0,0.0,0.6628574728965759,1.8681318759918213,0.1532413810491562,0.3472222089767456
