reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-15544.333333333345,0.95,719,1.8050314465408805,0.4583333333333333,5220,0,526.3176454218423,526.3134032458794,0.014139275222721442,1,2026-05-18T15:00:27.728974,,,,,,
-13564.777777777788,0.9025,719,4.60625,0.625,5220,0,393.49270648982827,393.48901549698746,0.012300831915989456,2,2026-05-18T15:02:20.718618,,,,,,
-278603.99999999994,0.8573749999999999,719,102.1782334384858,7.513888888888889,4681,0,55484.0855623545,55484.08258536263,0.012026572172557197,3,2026-05-18T15:04:27.172681,,,,,,
-15461.111111111111,0.8145062499999999,719,2.0308641975308643,0.5416666666666666,5217,0,312429.8220632497,312429.82027786534,0.014727441934669216,4,2026-05-18T15:06:21.901540,,,,,,
-15687.444444444449,0.7737809374999999,719,1.2134146341463414,0.5138888888888888,5216,0,225337.24481939705,225337.24016714294,0.022260646949754055,5,2026-05-18T15:08:16.588313,,,,,,
-11922.666666666668,0.7350918906249998,719,1.0460526315789473,0.3888888888888889,5228,0,188101.70353399497,188101.70042782335,0.01660202867811305,6,2026-05-18T15:10:11.358279,,,,,,
-12207.222222222234,0.6983372960937497,719,1.7030303030303031,0.5138888888888888,5215,0,132225.7352901029,132225.73119607853,0.01707403761268657,7,2026-05-18T15:12:05.100597,,,,,,
-11037.444444444442,0.6634204312890623,719,0.7077922077922078,0.2916666666666667,5225,0,157606.32323845237,157606.3196685324,0.015206864421024027,8,2026-05-18T15:13:59.374544,,,,,,
-10912.944444444436,0.6302494097246091,719,1.40625,0.5555555555555556,5221,0,177792.91234816762,177792.908676296,0.015490383970627616,9,2026-05-18T15:15:54.992649,,,,,,
-11948.444444444447,0.5987369392383786,719,1.5562913907284768,0.4583333333333333,5228,0,152268.9811587274,152268.97748498822,0.014720593432744289,10,2026-05-18T15:19:13.443143,-7507.499999999999,0.0,1.3642384105960266,0.4166666666666667,5229.0,0.0
-10376.944444444447,0.5688000922764596,719,1.3439490445859872,0.3888888888888889,5224,0,206950.19558584242,206950.19178867474,0.014927298454917522,11,2026-05-18T15:21:07.806259,,,,,,
-10138.000000000005,0.5403600876626365,719,1.3071895424836601,0.3888888888888889,5227,0,196434.47219933523,196434.46879346314,0.013543090841348214,12,2026-05-18T15:23:03.163081,,,,,,
-9678.111111111104,0.5133420832795047,719,1.554054054054054,0.4027777777777778,5233,0,248772.49353018854,248772.49010920624,0.013271964534661203,13,2026-05-18T15:24:58.532245,,,,,,
-10081.277777777783,0.48767497911552943,719,0.8782051282051282,0.3333333333333333,5224,0,272318.93644538213,272318.9326788169,0.01438494805008256,14,2026-05-18T15:26:53.629462,,,,,,
-171711.66666666674,0.46329123015975293,719,2.7413793103448274,0.6388888888888888,5206,0,357716.23495538573,357716.23214433057,0.013349577354497804,15,2026-05-18T15:29:10.182527,,,,,,
-88769.66666666666,0.44012666865176525,719,0.9014778325123153,0.5277777777777778,5178,0,384470.3551992276,384470.35297161416,0.013657101420931756,16,2026-05-18T15:31:16.154374,,,,,,
-9050.944444444442,0.41812033521917696,719,0.7189542483660131,0.3333333333333333,5226,0,362182.5342912316,362182.5317669737,0.014318702080557758,17,2026-05-18T15:33:10.477554,,,,,,
-9033.888888888883,0.3972143184582181,719,2.9025974025974026,0.5555555555555556,5227,0,439754.940491614,439754.9374772922,0.014355555979822542,18,2026-05-18T15:35:05.162750,,,,,,
