reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-61931.94444444445,0.95,719,1.908496732026144,0.4583333333333333,5227,0,996131.9028216106,1,2026-05-18T07:24:16.596781,,,,,,
-15511.277777777774,0.9025,719,1.9263803680981595,0.4722222222222222,5218,0,262164.1333571475,2,2026-05-18T07:25:39.396967,,,,,,
-14885.222222222223,0.8573749999999999,719,1.619047619047619,0.3611111111111111,5233,0,100718.68008274295,3,2026-05-18T07:27:01.888154,,,,,,
-52309.05555555555,0.8145062499999999,719,3.8025477707006368,0.6111111111111112,5224,0,94625.60497028207,4,2026-05-18T07:28:29.358923,,,,,,
-57984.33333333331,0.7737809374999999,719,2.866096866096866,1.7222222222222223,5030,0,94767.22909898187,5,2026-05-18T07:29:55.261882,,,,,,
-15701.055555555566,0.7350918906249998,719,1.7159090909090908,0.625,5204,0,98981.44903403164,6,2026-05-18T07:31:18.247049,,,,,,
-16493.833333333347,0.6983372960937497,719,0.6993865030674846,0.4027777777777778,5217,0,74994.66781119611,7,2026-05-18T07:32:42.021499,,,,,,
-289411.5555555554,0.6634204312890623,719,1.5962732919254659,0.4444444444444444,5220,0,378907.61556306505,8,2026-05-18T07:34:38.726035,,,,,,
-17839.111111111102,0.6302494097246091,719,7.406060606060606,0.9722222222222222,5216,0,445609.1811190673,9,2026-05-18T07:36:02.885164,,,,,,
-22605.611111111124,0.5987369392383786,719,7.376404494382022,1.0694444444444444,5203,0,423334.42426547286,10,2026-05-18T07:38:52.987526,-112522.11111111118,0.0,9.497382198952879,2.9722222222222223,4998.0,0.0
