reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-15580.33333333333,0.99,719,2.6566265060240966,0.6805555555555556,5214,0,550.1607042638267,550.1566288878278,0.01358440219816502,1,2026-05-17T08:43:48.645587,,,,,,
-27197888.38888888,0.9801,719,1314.5315154224409,30.875,2078,0,207846544.01053607,207846544.00920987,0.09493508858810877,2,2026-05-17T08:46:34.438934,,,,,,
-16717.611111111106,0.9702989999999999,719,4.488235294117647,0.625,5211,0,816176711.4993045,816176711.4993045,0.1119917538250189,3,2026-05-17T08:48:06.497311,,,,,,
-14020.166666666657,0.96059601,719,1.5403726708074534,0.5416666666666666,5220,0,242984631.48470098,242984631.48470098,0.13381857623932922,4,2026-05-17T08:49:36.258741,,,,,,
-15848.999999999985,0.9509900498999999,719,3.361842105263158,0.5138888888888888,5229,0,176070415.379694,176070415.379694,0.10326130437937997,5,2026-05-17T08:51:05.828375,,,,,,
-16723.277777777763,0.9414801494009999,719,1.54375,0.4861111111111111,5218,0,136082268.59700975,136082268.59700975,0.09522398409947898,6,2026-05-17T08:52:38.976632,,,,,,
-16966.77777777779,0.9320653479069899,719,1.9573170731707317,0.5694444444444444,5217,0,108407662.27703407,108407662.27703407,0.0920162739773619,7,2026-05-17T08:54:12.614746,,,,,,
-16563.999999999993,0.92274469442792,719,1.5263157894736843,0.4861111111111111,5209,0,196361405.34170723,196361405.34170723,0.08313990147040849,8,2026-05-17T08:55:45.609173,,,,,,
-17624.94444444446,0.9135172474836407,719,0.21301775147928995,0.1527777777777778,5210,0,136265734.2100465,136265734.21000305,0.08360930074198024,9,2026-05-17T08:57:16.935448,,,,,,
-17260.555555555584,0.9043820750088043,719,0.5868263473053892,0.3194444444444444,5212,0,138884732.11938238,138884732.1192194,0.07906240966269469,10,2026-05-17T09:01:44.464115,-36987580.05555555,0.0,1519.6781462585034,32.611111111111114,1439.0,0.0
-16418.833333333314,0.8953382542587163,719,1.896774193548387,0.5277777777777778,5225,0,131144446.32633758,131144446.32463709,0.15637798444400328,11,2026-05-17T09:03:18.341896,,,,,,
-15769.333333333323,0.8863848717161291,719,1.8011695906432748,0.5972222222222222,5209,0,235396578.72324842,235396578.7230963,0.08621417719648014,12,2026-05-17T09:04:52.219546,,,,,,
-16935.77777777777,0.8775210229989678,719,2.0584795321637426,0.7222222222222222,5210,0,99587602.90943368,99587602.9091403,0.06193476377290794,13,2026-05-17T09:06:27.086963,,,,,,
-16623.499999999996,0.8687458127689781,719,2.393939393939394,0.5,5215,0,300755517.9117698,300755517.9109549,0.09562578738533654,14,2026-05-17T09:08:00.917099,,,,,,
-17431.444444444445,0.8600583546412883,719,1.5348837209302326,0.5972222222222222,5209,0,200821755.98411965,200821755.9836524,0.05997459742503554,15,2026-05-17T09:09:36.382970,,,,,,
-16559.222222222234,0.8514577710948754,719,2.53125,0.5833333333333334,5221,0,260415826.68272448,260415826.6822464,0.050767420398612845,16,2026-05-17T09:11:10.687628,,,,,,
-18666.388888888912,0.8429431933839266,719,3.99375,0.6388888888888888,5219,0,147824915.49137256,147824915.49072063,0.047549046563070074,17,2026-05-17T09:12:46.105049,,,,,,
-16456.22222222223,0.8345137614500874,719,1.8087431693989071,0.5,5198,0,229651753.49816367,229651753.49751174,0.04995703976989953,18,2026-05-17T09:14:24.700915,,,,,,
-17507.444444444416,0.8261686238355865,719,2.758974358974359,0.7777777777777778,5185,0,132032333.59818052,132032333.5974009,0.04197552021701661,19,2026-05-17T09:15:58.354340,,,,,,
-15650.000000000004,0.8179069375972307,719,2.372093023255814,0.6388888888888888,5209,0,266947988.40305004,266947988.4024334,0.03216413941664391,20,2026-05-17T09:20:55.685952,-63757936.44444447,0.0,1974.6878474980142,34.97222222222222,814.0,0.0
-1438063.5000000007,0.8097278682212583,719,441.0364464692483,11.625,4392,0,296129882.7418588,296129882.741234,0.029707285278944378,21,2026-05-17T09:22:44.304048,,,,,,
-15317.722222222243,0.8016305895390458,719,1.3652694610778444,0.4305555555555556,5214,0,530594951.6405259,530594951.6401415,0.030272843979392332,22,2026-05-17T09:24:20.033921,,,,,,
-1371651.3888888892,0.7936142836436553,719,449.72443890274315,10.416666666666666,4512,0,505811657.5762004,505811657.5758174,0.028765507612341135,23,2026-05-17T09:26:03.168797,,,,,,
-18704.05555555556,0.7856781408072188,719,2.253012048192771,0.5833333333333334,5214,0,504123471.6092161,504123471.60891455,0.03539351186092026,24,2026-05-17T09:27:36.347259,,,,,,
-20911.666666666682,0.7778213593991465,719,1.8128342245989304,0.6805555555555556,5193,0,275673549.11488664,275673549.11424965,0.04838418397891837,25,2026-05-17T09:29:11.461961,,,,,,
-18288.611111111102,0.7700431458051551,719,1.376543209876543,0.5138888888888888,5218,0,401827606.6593549,401827606.658923,0.03279138678977569,26,2026-05-17T09:30:45.967597,,,,,,
-16381.666666666666,0.7623427143471035,719,2.3389830508474576,0.5694444444444444,5204,0,371256474.1235331,371256474.1232302,0.02896612912924217,27,2026-05-17T09:32:19.747887,,,,,,
-16146.944444444443,0.7547192872036325,719,1.6956521739130435,0.5972222222222222,5220,0,462239780.2087453,462239780.2082591,0.0285983440752487,28,2026-05-17T09:33:53.038990,,,,,,
-17149.22222222221,0.7471720943315961,719,1.8465909090909092,0.6111111111111112,5205,0,386660110.31233156,386660110.3120165,0.02802691551674059,29,2026-05-17T09:35:22.689768,,,,,,
-17530.444444444463,0.7397003733882802,719,4.781818181818182,0.75,5216,0,294302216.5924298,294302216.5919123,0.02788770174729393,30,2026-05-17T09:39:28.484171,-19854064.277777776,0.0,1096.3785617367707,30.569444444444443,2141.0,0.0
-19754.277777777777,0.7323033696543974,719,0.6781609195402298,0.2777777777777778,5206,0,428718609.3409792,428718609.34043455,0.027285643903763968,31,2026-05-17T09:41:05.177833,,,,,,
-18432.555555555555,0.7249803359578534,719,2.3892215568862274,0.5833333333333334,5214,0,419311876.4386898,419311876.4381044,0.026598095173671614,32,2026-05-17T09:42:38.823634,,,,,,
-16477.61111111112,0.7177305325982748,719,2.0552147239263805,0.5416666666666666,5217,0,177986355.03917658,177986355.038579,0.02598508331090502,33,2026-05-17T09:44:13.705612,,,,,,
-18013.72222222223,0.7105532272722921,719,1.521472392638037,0.4722222222222222,5218,0,406309064.94444054,406309064.9437478,0.02571600992672964,34,2026-05-17T09:45:49.049824,,,,,,
