reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-6106.555555555556,0.95,719,2.247422680412371,0.3055555555555556,3503,0,128.45532654552926,1,2026-05-18T13:53:53.628795,,,,,,
-22771.27777777776,0.9025,719,0.8936170212765957,0.19444444444444445,3506,0,32615.923849166848,2,2026-05-18T13:55:06.428905,,,,,,
-5982.166666666669,0.8573749999999999,719,1.108695652173913,0.16666666666666666,3508,0,19147.665821356633,3,2026-05-18T13:56:16.533850,,,,,,
-5511.388888888883,0.8145062499999999,719,1.565217391304348,0.2777777777777778,3508,0,14843.79569871502,4,2026-05-18T13:57:27.271297,,,,,,
-5646.55555555556,0.7737809374999999,719,1.608695652173913,0.25,3508,0,10824.97972280956,5,2026-05-18T13:58:38.040648,,,,,,
-4962.27777777778,0.7350918906249998,719,0.5555555555555556,0.1388888888888889,3510,0,7731.455035287912,6,2026-05-18T13:59:48.924016,,,,,,
-4844.444444444448,0.6983372960937497,719,1.25,0.20833333333333334,3512,0,5955.120259376494,7,2026-05-18T14:00:59.863043,,,,,,
-4601.333333333334,0.6634204312890623,719,1.696629213483146,0.2777777777777778,3511,0,6356.258716901585,8,2026-05-18T14:02:10.548272,,,,,,
-4434.999999999995,0.6302494097246091,719,0.13953488372093023,0.09722222222222222,3514,0,4652.810087787591,9,2026-05-18T14:03:21.628064,,,,,,
-4258.611111111111,0.5987369392383786,719,0.5555555555555556,0.125,3509,0,4684.352086596429,10,2026-05-18T14:05:35.230679,-2770.0555555555575,0.0,0.2808988764044944,0.1111111111111111,3510.0,0.0
-4053.166666666666,0.5688000922764596,719,0.8023255813953488,0.19444444444444445,3514,0,3818.153045651644,11,2026-05-18T14:06:45.709939,,,,,,
-4276.555555555557,0.5403600876626365,719,1.5824175824175823,0.2777777777777778,3509,0,3729.4999046139988,12,2026-05-18T14:07:55.629274,,,,,,
-4115.777777777775,0.5133420832795047,719,1.2446808510638299,0.2638888888888889,3505,0,3228.3913847640756,13,2026-05-18T14:09:06.575645,,,,,,
-3857.166666666665,0.48767497911552943,719,1.6593406593406594,0.20833333333333334,3509,0,2533.195196448845,14,2026-05-18T14:10:17.034158,,,,,,
-4039.9444444444493,0.46329123015975293,719,1.8850574712643677,0.3055555555555556,3513,0,2891.7545160232567,15,2026-05-18T14:11:27.170362,,,,,,
-114132.38888888883,0.44012666865176525,719,0.6122448979591837,0.20833333333333334,3501,0,14795.814808586874,16,2026-05-18T14:12:46.549631,,,,,,
-3794.4444444444416,0.41812033521917696,719,0.16666666666666666,0.08333333333333333,3515,0,50147.22663443277,17,2026-05-18T14:13:56.781569,,,,,,
-3514.7777777777796,0.3972143184582181,719,0.2413793103448276,0.06944444444444445,3512,0,47490.31368572888,18,2026-05-18T14:15:06.564070,,,,,,
-3505.3333333333367,0.37735360253530714,719,0.9418604651162791,0.2222222222222222,3513,0,40243.5960773155,19,2026-05-18T14:16:16.317944,,,,,,
-3403.500000000001,0.35848592240854177,719,0.8488372093023255,0.18055555555555555,3513,0,40234.662408619166,20,2026-05-18T14:18:29.663026,-2716.9444444444425,0.0,0.6666666666666666,0.1388888888888889,3513.0,0.0
-3552.944444444443,0.34056162628811465,719,1.0,0.18055555555555555,3514,0,34588.25029060141,21,2026-05-18T14:19:41.240936,,,,,,
-12474.888888888894,0.3235335449737089,719,0.25301204819277107,0.08333333333333333,3517,0,45286.807885664726,22,2026-05-18T14:20:52.598461,,,,,,
-3296.555555555552,0.30735686772502346,719,0.5056179775280899,0.16666666666666666,3511,0,43184.02710156182,23,2026-05-18T14:22:02.646173,,,,,,
-3245.3888888888873,0.2919890243387723,719,0.45977011494252873,0.1111111111111111,3512,0,38122.90577262168,24,2026-05-18T14:23:13.068939,,,,,,
-3126.22222222222,0.27738957312183365,719,0.3522727272727273,0.09722222222222222,3511,0,31929.687324550454,25,2026-05-18T14:24:23.639981,,,,,,
-3269.5000000000014,0.263520094465742,719,0.23595505617977527,0.08333333333333333,3510,0,35138.73451525777,26,2026-05-18T14:25:33.776994,,,,,,
-3267.2222222222235,0.25034408974245487,719,0.6190476190476191,0.1388888888888889,3516,0,40325.7531170162,27,2026-05-18T14:26:43.878511,,,,,,
-3351.3333333333326,0.2378268852553321,719,0.8505747126436781,0.1527777777777778,3512,0,35215.72562213733,28,2026-05-18T14:27:53.621167,,,,,,
