reward,steps,avg_delay,avg_queue,throughput,emergency_stops,episode,timestamp
-129.1956250000001,719,11.8224,3.4722,4078,0,1,2026-07-13T13:34:30.425140
-949.2940277777781,719,598.8155,12.4583,3455,0,2,2026-07-13T13:38:30.623365
-3876.362870370371,719,1293.6345,11.375,2573,0,3,2026-07-13T13:40:21.904691
-115.57594907407406,719,14.2204,4.6389,4144,0,4,2026-07-13T13:41:51.540030
