reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-1134.9145370370381,0.784,719,185.53421859039835,12.083333333333334,2550,2550,3534,979,0,34,27,1.0,106.0051040649414,373.4446105957031,4.554686546325684,12.222222328186035,451.01947021484375,979.0,554,B1,342.0,173878.0,0,13,0,B2B1_0,54.0,26422.0,0.3278666545786952,1,2026-05-23T03:23:15.484341,,,,,,,,,,,,
-7.405740740740742,0.76832,719,0.2558139534883721,0.1111111111111111,3514,3514,3600,86,0,0,0,0.0,1.3523542881011963,5.585106372833252,0.22303353250026703,0.5416666865348816,92.63699340820312,110.0,0,C2,14.0,349.0,0,43,0,B2C2_0,7.0,200.0,0.4491679920233341,2,2026-05-23T03:24:33.987922,,,,,,,,,,,,
-6.743657407407412,0.7529536,719,2.9468085106382977,0.2916666666666667,3506,3506,3600,94,0,0,0,0.0,1.20193350315094,4.174312114715576,0.2063630074262619,0.4444444477558136,90.94436645507812,111.0,0,C0,14.0,332.0,1,43,1,C1C0_0,7.0,158.0,0.22657834985118583,3,2026-05-23T03:25:51.411346,,,,,,,,,,,,
-6.422129629629629,0.737894528,719,0.8842105263157894,0.19444444444444445,3504,3504,3599,95,0,0,0,0.0,1.0876178741455078,3.3617022037506104,0.20039406418800354,0.4166666567325592,90.64395141601562,106.0,0,B2,14.0,226.0,0,33,0,A2B2_0,4.0,64.0,0.16884385150376713,4,2026-05-23T03:27:08.780626,,,,,,,,,,,,
-6.360648148148146,0.72313663744,719,0.5913978494623656,0.1388888888888889,3507,3507,3600,93,0,0,0,0.0,1.0892640352249146,4.911764621734619,0.19817261397838593,0.5555555820465088,90.32545471191406,106.0,0,B2,12.0,159.0,0,33,0,C2B2_1,4.0,68.0,0.1422007152802921,5,2026-05-23T03:29:35.275222,-5.086087962962963,0.0,0.358695652173913,0.125,3507.0,0.0,0.0,0.0,0.7653533816337585,2.08695650100708,0.16691778600215912,0.4166666567325592
-6.588379629629629,0.7086739046912,719,1.5444444444444445,0.20833333333333334,3508,3508,3598,90,0,0,0,0.0,1.1280053853988647,4.774509906768799,0.2045278698205948,0.5138888955116272,91.091796875,108.0,0,B1,17.0,310.0,1,38,1,B0B1_1,5.0,100.0,0.11898596965356811,6,2026-05-23T03:30:50.182012,,,,,,,,,,,,
-6.37460648148149,0.694500426597376,719,0.5463917525773195,0.125,3502,3502,3599,97,0,0,0,0.0,1.0838775634765625,3.6914894580841064,0.19923502206802368,0.4444444477558136,90.4840087890625,107.0,0,B0,14.0,156.0,0,28,0,C0B0_0,5.0,43.0,0.0998508116523107,7,2026-05-23T03:32:49.846038,,,,,,,,,,,,
-6.361967592592582,0.6806104180654284,719,0.28888888888888886,0.09722222222222222,3510,3510,3600,90,0,0,0,0.0,1.0704289674758911,4.628866195678711,0.19900326430797577,0.5138888955116272,90.7037582397461,112.0,0,B1,13.0,243.0,0,33,0,A1B1_1,5.0,125.0,0.10049111023674795,8,2026-05-23T03:35:49.224997,,,,,,,,,,,,
-6.322083333333327,0.6669982097041198,719,0.13829787234042554,0.09722222222222222,3506,3506,3600,94,0,0,0,0.0,1.084389328956604,4.199999809265137,0.19678178429603577,0.4861111044883728,90.35743713378906,105.0,0,A1,15.0,310.0,0,43,0,B1A1_1,6.0,133.0,0.09118866421261566,9,2026-05-23T03:38:51.614187,,,,,,,,,,,,
-6.428541666666673,0.6536582455100374,719,0.9183673469387755,0.20833333333333334,3502,3502,3600,98,0,0,0,0.0,1.0891226530075073,5.319149017333984,0.20078040659427643,0.4722222089767456,90.76078033447266,108.0,0,B1,19.0,294.0,0,38,0,A1B1_1,6.0,89.0,0.08496844916965848,10,2026-05-23T03:43:20.513998,-6.2856944444444505,0.0,1.9222222222222223,0.25,3509.0,0.0,0.0,0.0,1.1191068887710571,5.040816307067871,0.19427059590816498,0.4027777910232544
