reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-45.7361,0.81,719,1.8905,2.881,4472,4472,5038,566,0,1,1,0.0,0,0,2.4659,8.5059,2.7666,6.381,512.3533,651.0,26,0,0,A1,154.0,1707.0,1,8,0,W_A0A1_1,99.0,1144.0,0.0022,1,2026-05-26T09:39:57.586393,,,,,,,,,,,,
-53.6558,0.729,719,1.1847,2.1429,4428,4428,5148,720,0,0,0,0.0,0,0,2.7202,11.2192,3.1383,6.6905,583.8887,743.0,51,0,0,A2,163.0,3797.0,1,18,1,A1A2_1,80.0,2198.0,0.0025,2,2026-05-26T09:42:02.150800,,,,,,,,,,,,
-44.698,0.6561,719,1.6168,3.2381,4571,4571,5239,668,0,0,0,0.0,0,0,2.2706,17.8046,2.6198,6.5476,569.1279,729.0,11,0,0,A1,175.0,3194.0,1,18,1,W_A0A1_1,106.0,2498.0,0.0031,3,2026-05-26T09:44:08.976433,,,,,,,,,,,,
-32.9919,0.5905,719,1.0908,2.5714,4763,4763,5424,661,0,0,0,0.0,0,0,1.7139,5.5338,2.0747,3.9524,525.5828,667.0,0,0,0,A2,103.0,1143.0,1,13,1,A1A2_1,59.0,716.0,0.0035,4,2026-05-26T09:46:02.463045,,,,,,,,,,,,
-42.2074,0.5314,719,1.5567,2.5238,4867,4867,5537,670,0,5,5,0.0,0,0,2.0845,16.0314,2.259,6.2857,575.1822,762.0,54,0,0,A1,173.0,2919.0,0,23,0,W_A0A1_1,113.0,1846.0,0.0044,5,2026-05-26T09:49:55.358100,-36.6106,0.0,2.6133,1.7857,5147.0,0.0,0.0,0.0,1.9406,13.8058,1.7825,6.6905
