reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_total,loss_rl,loss_pred,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-7.489699074074072,0.784,719,1.690721649484536,0.2916666666666667,3503,3503,3600,97,0,0,0,0.0,1.383988380432129,5.06315803527832,0.2242118865251541,0.5416666865348816,92.49652099609375,109.0,0,A1,16.0,368.0,1,38,1,A0A1_1,5.0,116.0,0.0010609458728229183,0.0003699316444220951,0.013820284313136122,1,2026-05-23T03:22:27.059276,,,,,,,,,,,,
-7.158125000000009,0.76832,719,1.8453608247422681,0.3472222222222222,3503,3503,3600,97,0,0,0,0.0,1.3034223318099976,5.342105388641357,0.21625329554080963,0.5138888955116272,92.07093048095703,114.0,0,A2,16.0,420.0,0,43,0,B2A2_1,9.0,282.0,0.0007384729783179598,0.00026355709228931794,0.009498317531013397,2,2026-05-23T03:24:06.618650,,,,,,,,,,,,
-6.855208333333337,0.7529536,719,1.768421052631579,0.2638888888888889,3505,3505,3600,95,0,0,0,0.0,1.190871000289917,4.134146213531494,0.21153995394706726,0.4722222089767456,91.45758056640625,105.0,0,B1,12.0,135.0,0,23,0,A1B1_1,3.0,44.0,0.0005107494056149047,9.145116956601106e-05,0.008385964610998588,3,2026-05-23T03:25:43.919282,,,,,,,,,,,,
-6.560578703703703,0.737894528,719,1.5666666666666667,0.25,3508,3508,3598,90,0,0,0,0.0,1.1173441410064697,4.561224460601807,0.20404496788978577,0.4722222089767456,90.86091613769531,110.0,0,A1,16.0,342.0,1,43,1,A2A1_1,9.0,228.0,0.0004571778609489268,7.110813362961887e-05,0.007721394427400471,4,2026-05-23T03:27:21.335221,,,,,,,,,,,,
-6.462407407407409,0.72313663744,719,0.2857142857142857,0.125,3502,3502,3600,98,0,0,0,0.0,1.1124653816223145,4.73913049697876,0.2007610946893692,0.4444444477558136,90.55215454101562,105.0,0,A0,13.0,277.0,0,43,0,B0A0_0,5.0,86.0,0.000430722279708589,6.754384072218511e-05,0.007263568693043999,5,2026-05-23T03:30:09.938889,-4.576643518518515,0.0,0.43820224719101125,0.125,3510.0,0.0,0.0,0.0,0.6265835165977478,2.2921347618103027,0.15499922633171082,0.4305555522441864
-112.33280092592585,0.7086739046912,719,0.8152173913043478,0.16666666666666666,3507,3507,3599,92,0,1,1,0.0,21.162586212158203,246.48477172851562,0.6981146931648254,4.55555534362793,139.41725158691406,402.0,126,B1,308.0,89756.0,1,23,1,B0B1_1,47.0,12281.0,0.004914212417657654,0.0045334754755352305,0.0076147389594304875,6,2026-05-23T03:32:57.651753,,,,,,,,,,,,
-6.33224537037037,0.694500426597376,719,1.2840909090909092,0.19444444444444445,3511,3511,3599,88,0,0,0,0.0,1.0763622522354126,4.725274562835693,0.19821125268936157,0.4444444477558136,90.3963851928711,111.0,0,B1,15.0,296.0,1,38,1,B2B1_0,6.0,141.0,0.002739878933519249,0.0023593767008212537,0.007610044464137359,7,2026-05-23T03:39:24.002515,,,,,,,,,,,,
-6.357499999999993,0.6806104180654284,719,2.5106382978723403,0.3194444444444444,3506,3506,3600,94,0,0,0,0.0,1.0762032270431519,4.202247142791748,0.19884872436523438,0.4583333432674408,90.39360046386719,107.0,0,B1,14.0,185.0,1,38,1,B2B1_1,4.0,79.0,0.003140984949280517,0.0027690174765072073,0.007439349468419217,8,2026-05-23T03:42:55.470026,,,,,,,,,,,,
-6.354722222222219,0.6669982097041198,719,1.5473684210526315,0.2638888888888889,3504,3504,3599,95,0,0,0,0.0,1.075445532798767,3.2300000190734863,0.1988680362701416,0.4027777910232544,90.11821746826172,105.0,0,C1,14.0,191.0,1,28,1,C0C1_1,5.0,75.0,0.0033980111531772095,0.00303117174974815,0.007336788036846277,9,2026-05-23T03:47:01.312707,,,,,,,,,,,,
-86.87731481481492,0.6536582455100374,719,2.438775510204082,0.3333333333333333,3501,3501,3599,98,0,1,1,0.0,19.269929885864258,232.72555541992188,0.5514603853225708,3.625,123.36995697021484,325.0,116,B1,253.0,70330.0,1,3,0,B0B1_1,43.0,12892.0,0.004428817487381054,0.004060715275326186,0.0073620442473310175,10,2026-05-23T03:53:58.664205,-4.5588657407407345,0.0,0.9101123595505618,0.16666666666666666,3511.0,0.0,0.0,0.0,0.6151694059371948,2.144444465637207,0.15476742386817932,0.3888888955116272
