reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops
-15544.333333333345,0.95,719,1.8050314465408805,0.4583333333333333,5220,0,690.4455425448534,1,2026-05-18T07:24:28.558387,,,,,,
-39565.50000000004,0.9025,719,5.050955414012739,0.6666666666666666,5223,0,56678.54795595469,2,2026-05-18T07:25:53.737943,,,,,,
-14816.722222222204,0.8573749999999999,719,0.4394904458598726,0.2777777777777778,5222,0,34557.36366494806,3,2026-05-18T07:27:15.531647,,,,,,
-12714.88888888889,0.8145062499999999,719,0.5225806451612903,0.25,5226,0,24793.643449764757,4,2026-05-18T07:28:37.373032,,,,,,
-12683.16666666665,0.7737809374999999,719,1.5031055900621118,0.5138888888888888,5220,0,22790.984319652405,5,2026-05-18T07:30:01.106309,,,,,,
-20893.944444444438,0.7350918906249998,719,60.723076923076924,1.9444444444444444,5121,0,17004.04964051227,6,2026-05-18T07:31:24.295792,,,,,,
-11330.444444444442,0.6983372960937497,719,1.4569536423841059,0.4166666666666667,5230,0,11659.716307065748,7,2026-05-18T07:32:46.566259,,,,,,
-10325.944444444438,0.6634204312890623,719,1.6496815286624205,0.4583333333333333,5222,0,13793.947037952832,8,2026-05-18T07:34:08.225264,,,,,,
-10993.833333333336,0.6302494097246091,719,0.901840490797546,0.4166666666666667,5216,0,13031.83446696869,9,2026-05-18T07:35:30.445900,,,,,,
-10715.388888888863,0.5987369392383786,719,1.4248366013071896,0.4722222222222222,5228,0,11333.575382704861,10,2026-05-18T07:38:06.250308,-7499.111111111116,0.0,1.105263157894737,0.375,5229.0,0.0
