reward,epsilon,steps,avg_delay,avg_queue,throughput,emergency_stops,loss_total,loss_rl,loss_pred,episode,timestamp
-5544.722222222221,0.997,719,1.076086956521739,0.3055555555555556,3508,0,141.95582023481043,141.95310053011266,0.009065685127918586,1,2026-05-10T09:23:58.375072
-6165.555555555561,0.994009,719,0.23157894736842105,0.08333333333333333,3503,0,64.0650222841987,64.06282755463113,0.007315879725230669,2,2026-05-10T09:25:41.961416
-6130.222222222225,0.991026973,719,3.1354166666666665,0.3611111111111111,3502,0,66.7059795448611,66.70376443133401,0.007383371077047891,3,2026-05-10T09:27:09.997676
-6025.333333333334,0.988053892081,719,0.6,0.1388888888888889,3508,0,65.81220292580808,65.81001194727106,0.007303222296927875,4,2026-05-10T09:28:34.889188
-6868.555555555559,0.985089730404757,719,0.2608695652173913,0.1388888888888889,3508,1,66.74930795343263,66.74714369369316,0.007213840873132205,5,2026-05-10T09:30:00.434772
-5734.111111111108,0.9821344612135428,719,3.0,0.2916666666666667,3511,0,71.76352227413936,71.76138787408863,0.007114559406821353,6,2026-05-10T09:31:25.920384
-5630.333333333332,0.9791880578299021,719,2.7045454545454546,0.3611111111111111,3512,0,69.06627262948452,69.06415898478247,0.007045534502854765,7,2026-05-10T09:32:51.157756
-6828.44444444445,0.9762504936564125,719,1.9805825242718447,0.2777777777777778,3496,1,66.34061988437955,66.33851853796438,0.0070044278550597736,8,2026-05-10T09:34:16.538525
-6135.222222222224,0.9733217421754432,719,1.2954545454545454,0.2638888888888889,3512,0,67.99577361254102,67.99369307983568,0.006935034690733082,9,2026-05-10T09:35:41.811279
-5937.722222222218,0.9704017769489168,719,1.608695652173913,0.20833333333333334,3508,0,65.99157483256079,65.9894885592401,0.006954371690833022,10,2026-05-10T09:37:07.186511
-5420.444444444441,0.9674905716180701,719,1.3645833333333333,0.1527777777777778,3503,0,65.02737180579852,65.02528601528374,0.006952583732832125,11,2026-05-10T09:38:31.726612
-5017.66666666667,0.9645880999032158,719,1.5465116279069768,0.20833333333333334,3513,0,64.50864058111242,64.50655812248898,0.0069415621214671906,12,2026-05-10T09:39:57.706015
-5505.0000000000055,0.9616943356035061,719,1.4946236559139785,0.25,3506,0,62.34873582524285,62.34667064152109,0.0068837756528072214,13,2026-05-10T09:41:23.357112
-5207.777777777773,0.9588092525966956,719,1.075268817204301,0.2222222222222222,3506,0,59.954452111425915,59.9523846303969,0.006891581531671059,14,2026-05-10T09:42:48.823331
-5258.055555555552,0.9559328248389055,719,1.8555555555555556,0.3055555555555556,3509,0,60.39638090067348,60.39432708676568,0.0068463613719566725,15,2026-05-10T09:44:14.769135
-5501.000000000004,0.9530650263643888,719,1.0217391304347827,0.18055555555555555,3508,0,58.099698614510444,58.097654844026735,0.0068126829400637886,16,2026-05-10T09:45:40.167528
-5515.888888888892,0.9502058312852957,719,0.5730337078651685,0.1388888888888889,3510,0,58.59600925578196,58.593975369555565,0.006779435411308049,17,2026-05-10T09:47:05.270730
-5289.555555555557,0.9473552137914398,719,1.9090909090909092,0.2777777777777778,3512,0,57.5909234366596,57.58889918532922,0.006747427204771483,18,2026-05-10T09:48:30.423753
-5415.888888888885,0.9445131481500655,719,1.9666666666666666,0.3333333333333333,3509,0,57.871680237155964,57.86965731221545,0.0067427012621216545,19,2026-05-10T09:49:56.012618
-5406.722222222223,0.9416796087056153,719,2.0,0.2222222222222222,3508,1,58.16071978000009,58.15871050626413,0.006697318803581185,20,2026-05-10T09:51:21.519425
-5645.888888888888,0.9388545698794984,719,1.6206896551724137,0.2638888888888889,3513,0,57.770301696819786,57.76829556928059,0.006687126058945238,21,2026-05-10T09:52:47.299818
